Time,GrassPopulation,PrarieDogPopulation
1050.0,12.811341891723218,6.084398949212581
1051.0,12.824470008681498,5.9779527528996
1052.0,12.839132148789318,5.873449976268252
1053.0,12.855305331151856,5.770863119054961
1054.0,12.872967387719473,5.6701646125590885
1055.0,12.892096937034335,5.571326851718028
1056.0,12.912673358885574,5.4743222251753085
1057.0,12.93467676984486,5.379123143435591
1058.0,12.958087999654596,5.285702065196952
1059.0,12.982888568441453,5.194031521947502
1060.0,13.00906066472844,5.104084140910026
1061.0,13.036587124219256,5.015832666415128
1062.0,13.065451409329237,4.929249979780146
1063.0,13.095637589437766,4.8443091177680655
1064.0,13.12713032183769,4.760983289697605
1065.0,13.159914833357812,4.679245893272771
1066.0,13.193976902635246,4.599070529197303
1067.0,13.229302843014985,4.520431014636712
1068.0,13.265879486054708,4.443301395587929
1069.0,13.303694165613479,4.367655958214022
1070.0,13.342734702503595,4.293469239198929
1071.0,13.38298938968552,4.2207160351747675
1072.0,13.42444697798641,4.14937141127194
1073.0,13.467096662323383,4.079410708840038
1074.0,13.510928068413273,4.010809552385361
1075.0,13.555931239951205,3.943543855768812
1076.0,13.602096626240908,3.8775898277059264
1077.0,13.649415070260257,3.812923976608848
1078.0,13.697877797146095,3.7495231148082473
1079.0,13.747476403082898,3.6873643621913783
1080.0,13.798202844580432,3.626425149290771
1081.0,13.850049428126017,3.566683219856423
1082.0,13.903008800197531,3.5081166329427766
1083.0,13.957073937623793,3.4507037645402647
1084.0,14.012238138279397,3.3944233087797717
1085.0,14.068495012101573,3.3392542787369592
1086.0,14.125838472417074,3.2851760068620957
1087.0,14.184262727567495,3.232168145059753
1088.0,14.243762272821904,3.180210664441523
1089.0,14.304331882566022,3.129283854773749
1090.0,14.365966602757586,3.079368323641151
1091.0,14.428661743637932,3.0304449953461665
1092.0,14.492412872690148,2.9824951095628234
1093.0,14.557215807834575,2.9355002197629725
1094.0,14.623066610852684,2.889442191431805
1095.0,14.689961581030742,2.8443032000886825
1096.0,14.757897249014992,2.800065729128471
1097.0,14.826870370870337,2.7567125674977637
1098.0,14.896877922334859,2.714226807219614
1099.0,14.96791709326274,2.6725918407796616
1100.0,15.039985282248443,2.6317913583858474
1101.0,15.113080091425303,2.591809345113241
1102.0,15.187199321431839,2.552630077944872
1103.0,15.262340966539453,2.5142381227188593
1104.0,15.338503209935308,2.4766183309915517
1105.0,15.415684419154477,2.4397558368258507
1106.0,15.493883141655623,2.403636053513363
1107.0,15.57309810053468,2.3682446702385396
1108.0,15.653328190371234,2.333567648692484
1109.0,15.73457247320244,2.2995912196436694
1110.0,15.816830174619547,2.2663018794723673
1111.0,15.9001006799822,2.2336863866752075
1112.0,15.98438353074598,2.20173175834588
1113.0,16.069678420898633,2.1704252666376465
1114.0,16.155985193500765,2.1397544352129683
1115.0,16.243303837326785,2.1097070356852368
1116.0,16.3316344836021,2.0802710840572796
1117.0,16.4209774028327,2.0514348371610174
1118.0,16.511333001723315,2.02318678910237
1119.0,16.602701820180574,1.995515667715241
1120.0,16.695084528397608,1.9684104310281652
1121.0,16.788481924016704,1.9418602637469558
1122.0,16.882894929366707,1.9158545737564732
1123.0,16.97832458877198,1.8903829886444168
1124.0,17.074772065929793,1.8654353522498435
1125.0,17.172238641353186,1.8410017212389256
1126.0,17.270725709876317,1.8170723617102813
1127.0,17.370234778219512,1.7936377458320412
1128.0,17.470767462611246,1.7706885485126542
1129.0,17.57232548646434,1.7482156441072867
1130.0,17.674910678103817,1.7262101031615265
1131.0,17.778524968543827,1.7046631891939679
1132.0,17.883170389311186,1.6835663555191318
1133.0,17.9888490703131,1.662911242112055
1134.0,18.095563237746738,1.6426896725157718
1135.0,18.203315212048288,1.622893650792809
1136.0,18.312107405879306,1.6035153585217168
1137.0,18.421942322148098,1.58454715183957
1138.0,18.53282255206399,1.5659815585312842
1139.0,18.644750773222366,1.5478112751665183
1140.0,18.757729747718354,1.5300291642848578
1141.0,18.871762320287147,1.5126282516299072
1142.0,18.98685141646891,1.495601723432853
1143.0,19.10300004079629,1.4789429237460059
1144.0,19.220211275002576,1.462645351826773
1145.0,19.33848827624854,1.446702659572461
1146.0,19.457834275366064,1.4311086490062692
1147.0,19.57825257511664,1.4158572698147878
1148.0,19.699746548462855,1.4009426169372783
1149.0,19.822319636851002,1.3863589282069846
1150.0,19.94597534850293,1.3721005820446834
1151.0,20.070717256715312,1.3581620952046674
1152.0,20.19654899816445,1.3445381205733202
1153.0,20.323474271214785,1.331223445020431
1154.0,20.4514968342293,1.3182129873033708
1155.0,20.58062050387989,1.305501796024245
1156.0,20.710849153455932,1.2930850476401203
1157.0,20.842186711169155,1.2809580445264168
1158.0,20.97463715845294,1.2691162130935496
1159.0,21.10820452825418,1.2575551019569
1160.0,21.242892903315816,1.2462703801601955
1161.0,21.378706414448107,1.2352578354523773
1162.0,21.515649238786736,1.2245133726180388
1163.0,21.65372559803578,1.214033011861524
1164.0,21.792939756693553,1.203812887244779
1165.0,21.933296020259338,1.1938492451790688
1166.0,22.074798733418955,1.1841384429706683
1167.0,22.217452278207094,1.1746769474206682
1168.0,22.36126107214431,1.1654613334790394
1169.0,22.5062295663465,1.1564882829531224
1170.0,22.652362243604742,1.1477545832707308
1171.0,22.799663616433143,1.1392571262980757
1172.0,22.94813822508254,1.1309929072127458
1173.0,23.097790635517615,1.1229590234320022
1174.0,23.248625437355056,1.1151526735966752
1175.0,23.400647241760343,1.1075711566109838
1176.0,23.553860679300584,1.1002118707386253
1177.0,23.70827039775087,1.0930723127555226
1178.0,23.863881059851444,1.0861500771596506
1179.0,24.020697341012994,1.0794428554383995
1180.0,24.17872392696724,1.0729484353939798
1181.0,24.337965511359926,1.0666647005274101
1182.0,24.498426793283244,1.060589629481677
1183.0,24.660112474744608,1.054721295544705
1184.0,24.82302725806863,1.0490578662128205
1185.0,24.987175843229,1.043597602815451
1186.0,25.152562925106924,1.0383388602018488
1187.0,25.319193190672618,1.0332800864906917
1188.0,25.487071316086247,1.0284198228834696
1189.0,25.6562019637146,1.023756703542629
1190.0,25.826589779059624,1.0192894555355108
1191.0,25.998239387594847,1.0150168988451898
1192.0,26.171155391505533,1.010937946449388
1193.0,26.345342366328314,1.0070516044687137
1194.0,26.520804857485842,1.003356972385554
1195.0,26.697547376711867,0.9998532433350253
1196.0,26.87557439836199,0.9965397044694763
1197.0,27.05489035560512,0.9934157373981195
1198.0,27.235499636490523,0.990480818703464
1199.0,27.417406579885128,0.987734520536311
1200.0,27.60061547127557,0.9851765112911774
1201.0,27.78513053842923,0.9828065563641156
1202.0,27.97095594690828,0.9806245189949999
1203.0,28.158095795430608,0.9786303611964697
1204.0,28.346554111071104,0.976824144771829
1205.0,28.53633484429668,0.9752060324243277
1206.0,28.727441863828048,0.9737762889603755
1207.0,28.919878951321024,0.9725352825893699
1208.0,29.113649795859843,0.9714834863229593
1209.0,29.30875798825468,0.9706214794767027
1210.0,29.505207015135223,0.9699499492772395
1211.0,29.703000252831842,0.9694696925782355
1212.0,29.90214096103557,0.9691816176885344
1213.0,30.1026322762277,0.9690867463161136
1214.0,30.304477204869475,0.969186215631615
1215.0,30.50767861634198,0.9694812804554094
1216.0,30.71223923562583,0.9699733155723389
1217.0,30.918161635709946,0.970663818178484
1218.0,31.125448229718227,0.971554410464505
1219.0,31.3341012627424,0.9726468423403255
1220.0,31.544122803368943,0.9739429943061492
1221.0,31.755514734887416,0.9754448804750316
1222.0,31.968278746167023,0.9771546517524765
